,0
0,112.8720272926379
1,0.3198452285081104
2,9414339.673951086
3,7.253039762838103
4,138.83561594588213
5,102.04429968905896
6,100.52784392404982
7,113.10164466188019
8,121.88916111315064
9,144.25905619606033
10,0.43328762546354627
